r v real_class
0.525 0.836 RIN
2.445 0.384 IN
1.587 0.007 IN
1.321 0.447 BS
1.015 0.42 BS
0.467 0.113 RIN
0.619 0.563 CL
1.563 0.323 BS
2.505 2.751 ITL
2.83 1.097 ITL
0.547 2.231 ITL
1.407 0.292 BS
0.484 2.137 ITL
1.003 1.261 IN
0.613 0.558 CL
1.457 1.217 IN
1.902 0.32 BS
0.997 1.684 BS
1.472 1.381 ITL
0.679 1.057 IN
2.763 2.306 ITL
0.438 0.095 RIN
2.872 2.671 ITL
1.183 0.021 ITL
0.87 1.343 CL
0.796 1.084 BS
1.237 0.604 ITL
0.547 1.053 CL
1.744 0.296 BS
0.381 0.534 CL
2.344 0.009 IN
1.498 0.516 IN
1.435 0.416 ITL
1.708 0.317 BS
1.594 0.612 IN
2.999 0.04 IN
2.422 0.108 ITL
2.418 0.559 ITL
1.652 0.435 IN
0.288 1.905 CL
0.839 0.407 IN
1.044 0.11 BS
0.316 0.987 IN
2.881 2.175 ITL
1.052 0.534 BS
0.366 1.135 RIN
0.913 1.226 RIN
0.674 1.127 RIN
1.645 0.628 IN
1.265 0.355 BS
2.262 0.415 BS
2.12 0.539 IN
0.548 0.97 CL
1.303 0.021 IN
2.85 0.222 IN
1.16 0.804 BS
2.394 0.291 ITL
1.813 0.475 IN
2.104 1.647 ITL
0.879 0.723 RIN
0.518 0.211 RIN
1.838 0.196 ITL
1.735 0.266 IN
2.017 0.051 BS
0.805 0.856 BS
1.324 2.946 ITL
2.261 0.335 IN
2.843 2.135 ITL
0.873 0.393 CL
2.999 0.111 IN
0.818 0.471 IN
1.528 0.993 IN
1.11 0.246 BS
2.366 1.051 ITL
0.293 1.25 RIN
0.768 0.611 CL
0.153 0.06 CL
0.299 1.375 RIN
0.786 0.067 CL
0.7 0.812 CL
0.853 0.532 RIN
0.937 0.094 CL
0.908 1.586 IN
1.309 0.25 IN
0.385 2.304 RIN
2.759 0.255 ITL
1.11 2.651 ITL
0.716 0.391 CL
2.793 0.225 ITL
2.088 0.091 ITL
2.502 0.201 IN
1.281 0.807 BS
0.976 0.041 BS
1.027 0.522 BS
0.489 0.915 ITL
1.372 0.516 IN
0.745 1.113 CL
1.568 0.717 IN
0.242 0.635 CL
1.68 0.618 IN
0.771 2.404 ITL
0.336 1.265 RIN
0.453 1.125 IN
1.62 2.072 ITL
0.666 0.786 IN
1.291 0.422 BS
1.446 1.935 ITL
1.573 0.199 ITL
0.864 0.139 CL
0.907 0.355 BS
0.461 0.629 RIN
2.293 0.483 ITL
1.794 0.155 IN
1.074 1.445 IN
2.227 0.185 IN
2.89 0.864 IN
2.521 0.139 ITL
1.391 0.037 BS
1.412 0.252 IN
0.476 0.565 CL
0.949 0.892 BS
1.574 0.335 BS
2.256 0.244 ITL
0.703 0.646 CL
1.496 0.581 IN
0.744 0.438 CL
2.467 0.29 IN
2.066 0.385 IN
1.767 0.174 IN
1.225 0.769 BS
2.59 1.685 ITL
0.692 0.878 CL
0.282 1.76 RIN
2.098 1.016 ITL
1.991 0.15 IN
2.49 0.163 ITL
1.363 0.618 BS
0.566 0.953 RIN
2.901 0.119 IN
2.806 1.708 ITL
1.744 0.02 IN
1.299 0.586 IN
1.088 0.372 BS
0.626 0.272 CL
2.256 0.866 ITL
1.546 0.257 BS
2.016 0.185 ITL
1.677 0.482 ITL
1.008 2.185 ITL
1.26 0.752 IN
0.912 1.29 BS
0.553 0.076 BS
0.697 2.559 ITL
1.452 0.624 BS
2.892 2.72 ITL
0.783 0.51 CL
0.503 0.336 CL
2.551 0.486 IN
1.755 0.157 BS
2.494 0.202 IN
1.694 0.203 ITL
2.17 0.617 IN
1.629 0.5 BS
0.86 0.553 BS
0.3 0.997 CL
0.24 2.603 RIN
0.05 2.19 CL
2.748 0.276 IN
1.946 0.438 BS
0.307 1.187 IN
2.417 0.121 ITL
2.399 0.23 IN
0.294 0.42 IN
1.77 0.675 ITL
0.701 1.314 RIN
0.956 0.746 IN
1.774 0.224 IN
0.484 0.58 RIN
0.806 0.266 BS
1.319 0.567 IN
0.288 0.713 CL
1.821 0.339 ITL
0.231 1.855 CL
1.627 0.673 IN
1.167 0.726 IN
1.285 1.241 ITL
2.579 1.065 ITL
1.729 0.241 IN
1.032 0.868 IN
1.82 0.737 IN
0.578 0.264 CL
2.765 0.074 ITL
1.392 0.513 BS
0.794 0.619 CL
2.971 1.445 ITL
2.671 0.036 IN
0.509 0.554 ITL
