r v real_class
1.054 0.344 IN
1.627 0.379 BS
1.596 1.357 IN
1.631 0.599 BS
1.282 0.601 BS
1.194 0.559 BS
1.811 0.107 BS
1.954 0.019 BS
1.584 0.091 BS
1.845 0.078 IN
1.838 0.05 IN
1.839 0.123 IN
1.985 0.181 IN
1.965 0.149 IN
2.015 0.193 IN
2.118 0.228 IN
1.926 0.24 BS
2.372 0.246 BS
2.352 0.719 BS
1.898 0.115 BS
1.915 0.101 BS
2.549 0.359 BS
1.876 0.284 BS
1.355 0.796 IN
1.486 0.718 IN
1.51 0.443 IN
1.407 0.954 IN
1.43 0.615 IN
1.456 0.477 IN
2.465 0.065 IN
2.537 0.266 IN
2.617 0.4 IN
2.451 0.737 IN
2.309 0.69 IN
2.751 0.504 IN
2.247 0.61 IN
2.774 0.058 IN
2.51 0.376 IN
2.189 0.81 IN
1.863 0.498 BS
1.617 0.068 BS
1.671 0.093 BS
1.581 0.545 BS
1.601 0.381 BS
1.987 0.629 BS
1.887 0.346 IN
2.341 0.572 IN
2.289 0.7 IN
2.666 0.652 IN
2.562 0.305 IN
1.99 0.011 IN
2.149 0.068 IN
2.662 0.108 IN
2.328 0.602 IN
2.047 0.418 IN
2.423 0.523 IN
1.94 0.065 IN
2.061 0.038 IN
2.629 0.446 IN
2.594 0.703 IN
2.141 0.25 IN
2.196 0.699 IN
2.741 0.475 IN
2.108 0.256 IN
2.206 0.411 IN
2.113 0.13 IN
2.309 0.368 IN
2.307 0.208 IN
2.863 0.332 IN
2.457 0.11 IN
2.603 0.389 IN
2.764 0.204 IN
2.372 2.551 ITL
2.384 2.212 ITL
2.736 1.933 ITL
2.536 2.862 ITL
0.666 2.523 ITL
2.668 2.47 ITL
1.858 1.733 ITL
1.045 2.638 ITL
2.405 1.97 ITL
2.579 1.967 ITL
2.288 1.877 ITL
2.963 2.267 ITL
2.775 1.864 ITL
1.339 2.609 ITL
1.412 2.782 ITL
0.552 2.239 ITL
2.493 2.501 ITL
2.412 1.685 ITL
2.522 2.612 ITL
2.846 2.441 ITL
1.489 2.129 ITL
0.804 2.254 ITL
0.276 2.525 ITL
2.945 2.528 ITL
2.153 2.177 ITL
0.266 2.407 ITL
2.971 2.315 ITL
1.086 2.3 ITL
1.58 2.335 ITL
1.91 2.792 ITL
2.533 1.634 ITL
1.107 2.567 ITL
0.35 2.368 ITL
2.663 2.373 ITL
0.865 2.585 ITL
2.607 1.762 ITL
2.099 2.863 ITL
1.821 1.814 ITL
2.245 1.928 ITL
2.696 2.635 ITL
2.348 2.366 ITL
1.425 2.73 ITL
3 2.53 ITL
1.761 2.072 ITL
0.817 1.737 ITL
0.53 2.518 ITL
2.391 2.116 ITL
2.316 2.341 ITL
1.037 2.725 ITL
1.89 2.377 ITL
1.325 1.945 ITL
1.247 1.929 ITL
0.845 2.524 ITL
0.916 2.533 ITL
2.728 2.433 ITL
2.718 2.552 ITL
2.089 2.625 ITL
1.851 2.181 ITL
2.198 2.029 ITL
1.241 1.802 ITL
2.034 2.128 ITL
2.536 2.148 ITL
2.504 2.16 ITL
2.348 2.432 ITL
1.402 2.083 ITL
0.144 1.606 ITL
0.57 2.261 ITL
0.88 2.256 ITL
1.387 2.792 ITL
2.458 1.828 ITL
2.851 1.866 ITL
1.55 2.031 ITL
0.863 2.419 ITL
1.561 2.331 ITL
1.634 2.289 ITL
2.816 2.395 ITL
1.627 2.822 ITL
2.654 2.692 ITL
2.828 2.649 ITL
2.797 2.58 ITL
1.717 2.445 ITL
2.128 2.505 ITL
1.851 2.167 ITL
1.88 2.33 ITL
1.824 2.084 ITL
1.828 2.064 ITL
2.35 2.428 ITL
